CustomerID,Evaluation Date,Max Visit Date,Count of Visits,Watch_Duration (mins),Recency,Recency Scale,Frequency Scale,Monetary Scale,RFM Segment,Preference_Content_Type,Age,Gender,Segments,GenderSegment
C270,09/01/2024,8/30/2024,22,5885,2,2,2,2,222,Sports,27,Male,Promising,222Male
C271,09/01/2024,8/30/2024,38,11160.5,2,2,2,2,222,Movies,24,Female,Promising,222Female
C272,09/01/2024,8/30/2024,45,13246,2,2,2,2,222,TV Shows,20,Female,Promising,222Female
C273,09/01/2024,8/29/2024,16,4236,3,2,1,1,211,Sports,25,Male,New Users,211Male
C274,09/01/2024,8/30/2024,46,12112,2,2,2,2,222,Movies,34,Male,Promising,222Male
C275,09/01/2024,8/30/2024,39,11213.25,2,2,2,2,222,Sports,22,Male,Promising,222Male
C276,09/01/2024,8/30/2024,36,10202,2,2,2,2,222,Movies,26,Female,Promising,222Female
C277,09/01/2024,8/30/2024,31,11475.75,2,2,2,2,222,Sports,24,Male,Promising,222Male
C278,09/01/2024,8/28/2024,6,1539,4,2,1,1,211,Sports,31,Female,New Users,211Female
C279,09/01/2024,8/30/2024,18,7085,2,2,2,2,222,TV Shows,23,Female,Promising,222Female
C280,09/01/2024,8/30/2024,52,12735,2,2,3,2,232,Movies,21,Male,Potential Loyalists,232Male
C281,09/01/2024,8/29/2024,45,12754.25,3,2,2,2,222,Sports,29,Male,Promising,222Male
C282,09/01/2024,8/29/2024,32,9800.25,3,2,2,2,222,Sports,20,Male,Promising,222Male
C283,09/01/2024,8/30/2024,58,14099.5,2,2,3,3,233,Sports,23,Male,Champions,233Male
C284,09/01/2024,8/30/2024,56,16914.75,2,2,3,3,233,Movies,22,Female,Champions,233Female
C285,09/01/2024,8/30/2024,53,12739,2,2,3,2,232,Sports,27,Male,Potential Loyalists,232Male
C286,09/01/2024,8/30/2024,23,8204.75,2,2,2,2,222,Sports,20,Male,Promising,222Male
C287,09/01/2024,8/30/2024,27,8328.75,2,2,2,2,222,Movies,28,Female,Promising,222Female
C288,09/01/2024,8/28/2024,32,12396,4,2,2,2,222,Movies,29,Female,Promising,222Female
C289,09/01/2024,8/28/2024,45,12635.5,4,2,2,2,222,Movies,34,Male,Promising,222Male
C290,09/01/2024,8/29/2024,19,6379.25,3,2,2,2,222,Sports,33,Male,Promising,222Male
C291,09/01/2024,8/30/2024,54,12916.5,2,2,3,2,232,Movies,26,Female,Potential Loyalists,232Female
C292,09/01/2024,8/30/2024,36,10246,2,2,2,2,222,Movies,23,Male,Promising,222Male
C293,09/01/2024,8/29/2024,30,9405.5,3,2,2,2,222,Sports,22,Male,Promising,222Male
C294,09/01/2024,8/30/2024,45,10884.25,2,2,2,2,222,TV Shows,21,Female,Promising,222Female
C295,09/01/2024,8/22/2024,5,1288,10,1,1,1,111,TV Shows,23,Female,Hibernating,111Female
C296,09/01/2024,8/29/2024,51,11140,3,2,3,2,232,Movies,21,Female,Potential Loyalists,232Female
C297,09/01/2024,8/30/2024,27,8270,2,2,2,2,222,TV Shows,23,Female,Promising,222Female
C298,09/01/2024,8/30/2024,38,11036.5,2,2,2,2,222,TV Shows,29,Female,Promising,222Female
C299,09/01/2024,8/30/2024,12,5129.5,2,2,1,1,211,TV Shows,32,Female,New Users,211Female
C300,09/01/2024,8/30/2024,18,4919,2,2,2,1,221,Sports,20,Male,Promising,221Male
